Voltage,Current,Ah,Wh,Power,Battery Temp,Time,Chamber Temp
4.17802,-0.01062,0.0,0.0,-0.044370572399999995,25.61949,0.0,25
4.17673,-0.04981,-0.0,-0.0,-0.20804292130000002,25.61949,0.10099522769451141,25
4.17609,-0.06615,-0.0,-1e-05,-0.27624835350000004,25.61949,0.20200051367282867,25
4.17609,-0.06941,-0.0,-2e-05,-0.28986240690000004,25.61949,0.3040015697479248,25
4.17544,-0.07105,-1e-05,-2e-05,-0.296665012,25.61949,0.4049967974424362,25
4.17544,-0.07105,-1e-05,-3e-05,-0.296665012,25.61949,0.5089994519948959,25
4.17544,-0.07105,-1e-05,-4e-05,-0.296665012,25.61949,0.5999967455863953,25
4.17544,-0.07186,-1e-05,-5e-05,-0.3000471184,25.61949,0.7030036300420761,25
4.17544,-0.07105,-1e-05,-6e-05,-0.296665012,25.61949,0.8049946278333664,25
4.17544,-0.07105,-2e-05,-7e-05,-0.296665012,25.61949,0.9069956839084625,25
4.17544,-0.07186,-2e-05,-7e-05,-0.3000471184,25.61949,1.0080009698867798,25
4.17544,-0.07105,-2e-05,-8e-05,-0.296665012,25.61949,1.110002025961876,25
4.17544,-0.07186,-2e-05,-9e-05,-0.3000471184,25.61949,1.2100014835596085,25
4.17544,-0.07105,-2e-05,-0.0001,-0.296665012,25.61949,1.310000941157341,25
4.17544,-0.07186,-3e-05,-0.00011,-0.3000471184,25.61949,1.3989966362714767,25
4.17544,-0.07186,-3e-05,-0.00012,-0.3000471184,25.61949,1.5090040862560272,25
4.17544,-0.07105,-3e-05,-0.00012,-0.296665012,25.61949,1.6090035438537598,25
4.17544,-0.07186,-3e-05,-0.00013,-0.3000471184,25.61949,1.700996607542038,25
4.17544,-0.07105,-3e-05,-0.00014,-0.296665012,25.61949,1.8049992620944977,25
4.17544,-0.07105,-4e-05,-0.00015,-0.296665012,25.61949,1.9099976867437363,25
4.17544,-0.07105,-4e-05,-0.00016,-0.296665012,25.61949,2.0020008087158203,25
4.17544,-0.07105,-4e-05,-0.00017,-0.296665012,25.61949,2.1079950034618378,25
4.17544,-0.07186,-4e-05,-0.00017,-0.3000471184,25.60828,2.2010039538145065,25
4.17544,-0.07105,-4e-05,-0.00018,-0.296665012,25.60828,2.3040007799863815,25
4.17544,-0.07105,-5e-05,-0.00019,-0.296665012,25.60828,2.404996007680893,25
4.17544,-0.07186,-5e-05,-0.0002,-0.3000471184,25.61949,2.506997063755989,25
4.17544,-0.07105,-5e-05,-0.00021,-0.296665012,25.61949,2.6069965213537216,25
4.17544,-0.07105,-5e-05,-0.00022,-0.296665012,25.61949,2.703002840280533,25
4.17544,-0.07186,-5e-05,-0.00022,-0.3000471184,25.61949,2.805999666452408,25
4.17544,-0.07105,-6e-05,-0.00023,-0.296665012,25.61949,2.908000722527504,25
4.17544,-0.07186,-6e-05,-0.00024,-0.3000471184,25.61949,3.000003844499588,25
4.17544,-0.07186,-6e-05,-0.00025,-0.3000471184,25.61949,3.1019948422908783,25
4.17544,-0.07105,-6e-05,-0.00026,-0.296665012,25.61949,3.205997496843338,25
4.17544,-0.07186,-6e-05,-0.00026,-0.3000471184,25.61949,3.303995355963707,25
4.17544,-0.07105,-7e-05,-0.00027,-0.296665012,25.6307,3.400001674890518,25
4.17544,-0.07105,-7e-05,-0.00028,-0.296665012,25.6307,3.5009969025850296,25
4.17544,-0.07186,-7e-05,-0.00029,-0.3000471184,25.6307,3.600996360182762,25
4.17544,-0.07186,-7e-05,-0.0003,-0.3000471184,25.61949,3.7020016461610794,25
4.17544,-0.07105,-7e-05,-0.00031,-0.296665012,25.61949,3.802996873855591,25
4.17544,-0.07105,-8e-05,-0.00031,-0.296665012,25.61949,3.9029963314533234,25
4.17544,-0.07186,-8e-05,-0.00032,-0.3000471184,25.61949,4.004001617431641,25
4.17544,-0.07186,-8e-05,-0.00033,-0.3000471184,25.61949,4.106998443603516,25
4.17544,-0.07186,-8e-05,-0.00034,-0.3000471184,25.61949,4.1999973356723785,25
4.17544,-0.07186,-8e-05,-0.00035,-0.3000471184,25.61949,4.306001588702202,25
4.17544,-0.07105,-9e-05,-0.00036,-0.296665012,25.61949,4.40499521791935,25
4.1748,-0.07186,-9e-05,-0.00036,-0.300001128,25.61949,4.510003700852394,25
4.1748,-0.07105,-9e-05,-0.00037,-0.29661954,25.61949,4.6109989285469055,25
4.17544,-0.07105,-9e-05,-0.00038,-0.296665012,25.61949,4.701996222138405,25
4.1748,-0.07186,-9e-05,-0.00039,-0.300001128,25.61949,4.806994646787643,25
4.1748,-0.07186,-0.0001,-0.0004,-0.300001128,25.61949,4.900003597140312,25
4.1748,-0.07105,-0.0001,-0.00041,-0.29661954,25.61949,5.003000423312187,25
4.1748,-0.07186,-0.0001,-0.00041,-0.300001128,25.61949,5.10299988090992,25
4.1748,-0.07186,-0.0001,-0.00042,-0.300001128,25.61949,5.200997740030289,25
4.1748,-0.07186,-0.0001,-0.00043,-0.300001128,25.61949,5.300997197628021,25
4.1748,-0.07105,-0.00011,-0.00044,-0.29661954,25.60828,5.404004082083702,25
4.1748,-0.07186,-0.00011,-0.00045,-0.300001128,25.60828,5.509002506732941,25
4.1748,-0.07105,-0.00011,-0.00046,-0.29661954,25.60828,5.599004030227661,25
4.1748,-0.07105,-0.00011,-0.00046,-0.29661954,25.61949,5.6999992579221725,25
